cohort,outcome,comparison,delta_spearman,spearman_2_5,spearman_97_5,P_delta_spearman_gt0,delta_pearson,pearson_2_5,pearson_97_5,P_delta_pearson_gt0,classification
WC2018,Y10_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.0343113859067598,-0.17063283191380968,0.26289338035811166,0.608,-0.013514595090413266,-0.13907306547247517,0.14679337362599248,0.3955,NO_CLEAR_DIFFERENCE
WC2018,Y10_NET_XG,B6_vs_B4_FIXED_FAILURE,0.00826124919881841,-0.0378539041744183,0.05514705882352938,0.6622,-0.010218106972278622,-0.02231495734515181,0.00045059119716011264,0.0299,NO_CLEAR_DIFFERENCE
WC2018,Y10_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.004693804784465236,-0.045212277154934755,0.019121337821251097,0.2738,-0.01385468223391976,-0.03143785201147328,0.0010822441308710774,0.0376,NO_CLEAR_DIFFERENCE
WC2018,Y10_NET_XG,B6_vs_B0,-0.22311332132770964,-0.556987657857521,0.10304270218897123,0.0888,-0.20877152539344185,-0.5382033062461618,0.11653612738114491,0.1089,NO_CLEAR_DIFFERENCE
WC2018,Y10_NET_XG,B6_vs_B1,-0.22674699422116554,-0.5473134505009324,0.07459293266124828,0.0683,-0.22290010563344512,-0.5484255790650562,0.10012740712416186,0.0933,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B2_XR,0.003037821874976751,-0.15968101910331955,0.16982230685554459,0.5096,0.016117435021157433,-0.14716841380821014,0.17746211106337267,0.5813,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.04708736127777908,-0.16808426831043097,0.29638346380099556,0.6494,-0.007124210810948535,-0.1559235092656828,0.18802468639576864,0.4361,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B4_FIXED_FAILURE,0.006237094162104979,-0.034958923380594684,0.049788399468087774,0.6438,-0.009993626439383445,-0.022769349245277567,0.0019840337201569858,0.0525,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.006086693575464926,-0.040869301214818694,0.008862711095856858,0.2381,-0.016940494424912418,-0.035684326930243794,-0.000650711897294338,0.0196,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B0,-0.23061003011016445,-0.5635396797107722,0.0912507189432138,0.0796,-0.3007995629013619,-0.6278850549362879,0.051003236149554335,0.0475,NO_CLEAR_DIFFERENCE
WC2018,Y30_NET_XG,B6_vs_B1,-0.23840047677993995,-0.5586781813758711,0.06785115196341747,0.0638,-0.32052084701922906,-0.6468912708091726,0.030200216680111795,0.0368,NO_CLEAR_DIFFERENCE
WC2018,YCYCLE_NET_XG,B6_vs_B2_XR,0.08164939401404273,-0.04834490103683454,0.23992713708333346,0.8778,0.09475716387652296,-0.03472948316709241,0.22897508826163512,0.9246,NO_CLEAR_DIFFERENCE
WC2018,YCYCLE_NET_XG,B6_vs_B3_SUCCESS_ONLY,-0.04039240404578264,-0.22947302256324298,0.17587651431472426,0.332,-0.030447622540613794,-0.16629285949728298,0.1321332031323066,0.3244,NO_CLEAR_DIFFERENCE
WC2018,YCYCLE_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.01013657854017205,-0.053265400447676775,0.026540986527417897,0.2145,-0.002794739038920258,-0.016283210533736332,0.008737666538771616,0.3407,NO_CLEAR_DIFFERENCE
