cohort,keeper,team,goal_kick,pressure,choice_bin,choice_length_source,choice_observable_n,all_action_n,coverage,frequency,retention,xR,value
PL1516,Bradley Guzan,Aston Villa,True,FREE,LONG,provider_target_geometry,178,224,0.7946428571428571,0.7359550561797753,0.7022900763358778,0.6457292734522871,-0.0033136589715944504
PL1516,Bradley Guzan,Aston Villa,True,FREE,MEDIUM,provider_target_geometry,178,224,0.7946428571428571,0.05056179775280899,1.0,0.6471033347670296,-0.0030364644670133846
PL1516,Bradley Guzan,Aston Villa,True,FREE,SHORT,provider_target_geometry,178,224,0.7946428571428571,0.07865168539325842,1.0,0.6122668576952542,-0.0035460504591578743
PL1516,Bradley Guzan,Aston Villa,True,FREE,VERY_LONG,provider_target_geometry,178,224,0.7946428571428571,0.1348314606741573,0.7083333333333334,0.6394332483193024,-0.0034865848202828907
PL1516,Carl Jenkinson,West Ham United,False,FREE,VERY_LONG,provider_target_geometry,1,1,1.0,1.0,1.0,0.591324200913242,-0.0013581098557674531
PL1516,Carl Jenkinson,West Ham United,True,FREE,LONG,provider_target_geometry,1,1,1.0,1.0,1.0,0.591324200913242,-0.005003882106131557
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,LONG,provider_target_geometry,302,382,0.7905759162303665,0.45364238410596025,0.5255474452554745,0.6575040925449853,-0.005002119839519329
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,MEDIUM,provider_target_geometry,302,382,0.7905759162303665,0.1423841059602649,0.9534883720930233,0.7653517158742666,-0.0035461833726792564
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,SHORT,provider_target_geometry,302,382,0.7905759162303665,0.28807947019867547,1.0,0.815870836061772,-0.0025418400044422674
PL1516,Costel Fane Pantilimon,Sunderland,False,FREE,VERY_LONG,provider_target_geometry,302,382,0.7905759162303665,0.11589403973509933,0.4,0.5754559844521783,-0.006544971445020342
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,LONG,provider_target_geometry,18,27,0.6666666666666666,0.5555555555555556,0.4,0.5116230360590348,-0.007942403872568336
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,MEDIUM,provider_target_geometry,18,27,0.6666666666666666,0.3333333333333333,0.5,0.5319699026105041,-0.006266812701981532
PL1516,Costel Fane Pantilimon,Sunderland,False,PRESSURED,SHORT,provider_target_geometry,18,27,0.6666666666666666,0.1111111111111111,1.0,0.48533528051600344,-0.005559888894181169
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,LONG,provider_target_geometry,127,150,0.8466666666666667,0.7322834645669292,0.5913978494623656,0.6036757240594809,-0.0035964161795962292
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,MEDIUM,provider_target_geometry,127,150,0.8466666666666667,0.06299212598425197,1.0,0.6113715950200651,-0.003927642570346505
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,SHORT,provider_target_geometry,127,150,0.8466666666666667,0.08661417322834646,1.0,0.6255025882751972,-0.0036189533808480747
PL1516,Costel Fane Pantilimon,Sunderland,True,FREE,VERY_LONG,provider_target_geometry,127,150,0.8466666666666667,0.11811023622047244,0.6,0.6072154413894825,-0.0036867030905313293
PL1516,Danny Ward,Liverpool,False,FREE,LONG,provider_target_geometry,43,46,0.9347826086956522,0.3953488372093023,0.35294117647058826,0.6214226441678592,-0.005608466304129426
PL1516,Danny Ward,Liverpool,False,FREE,MEDIUM,provider_target_geometry,43,46,0.9347826086956522,0.09302325581395349,1.0,0.8266227484035918,-0.0032144199279108684
PL1516,Danny Ward,Liverpool,False,FREE,SHORT,provider_target_geometry,43,46,0.9347826086956522,0.46511627906976744,1.0,0.7946338715969745,-0.002697233180308585
PL1516,Danny Ward,Liverpool,False,FREE,VERY_LONG,provider_target_geometry,43,46,0.9347826086956522,0.046511627906976744,0.5,0.6038557326434744,-0.007551178318627207
PL1516,Danny Ward,Liverpool,True,FREE,LONG,provider_target_geometry,10,11,0.9090909090909091,0.2,0.0,0.5779891829244737,-0.003510437887571634
PL1516,Danny Ward,Liverpool,True,FREE,MEDIUM,provider_target_geometry,10,11,0.9090909090909091,0.2,1.0,0.6447048082775411,-0.0014639566926989813
PL1516,Danny Ward,Liverpool,True,FREE,SHORT,provider_target_geometry,10,11,0.9090909090909091,0.2,1.0,0.6603773584905659,-0.001076840081607285
PL1516,Danny Ward,Liverpool,True,FREE,VERY_LONG,provider_target_geometry,10,11,0.9090909090909091,0.4,0.25,0.6562031262335202,-0.002542937673646623
PL1516,Darren Randolph,West Ham United,False,FREE,LONG,provider_target_geometry,118,135,0.8740740740740741,0.3813559322033898,0.7333333333333333,0.6407407315357826,-0.005791296755743255
PL1516,Darren Randolph,West Ham United,False,FREE,MEDIUM,provider_target_geometry,118,135,0.8740740740740741,0.09322033898305085,1.0,0.8860768151617954,-0.002446174733686915
PL1516,Darren Randolph,West Ham United,False,FREE,SHORT,provider_target_geometry,118,135,0.8740740740740741,0.2542372881355932,1.0,0.8261643571919605,-0.002635666779211002
PL1516,Darren Randolph,West Ham United,False,FREE,VERY_LONG,provider_target_geometry,118,135,0.8740740740740741,0.2711864406779661,0.59375,0.625478372265648,-0.006093813308430063
PL1516,Darren Randolph,West Ham United,False,PRESSURED,LONG,provider_target_geometry,8,10,0.8,0.5,0.25,0.5045037996845226,-0.007191630239826727
PL1516,Darren Randolph,West Ham United,False,PRESSURED,MEDIUM,provider_target_geometry,8,10,0.8,0.125,0.0,0.5269461077844312,-0.0041141885432705305
PL1516,Darren Randolph,West Ham United,False,PRESSURED,VERY_LONG,provider_target_geometry,8,10,0.8,0.375,0.3333333333333333,0.49951155975252365,-0.006694796824136475
PL1516,Darren Randolph,West Ham United,True,FREE,LONG,provider_target_geometry,30,46,0.6521739130434783,0.23333333333333334,0.7142857142857143,0.6091504201612986,-0.003938285778445109
PL1516,Darren Randolph,West Ham United,True,FREE,MEDIUM,provider_target_geometry,30,46,0.6521739130434783,0.1,1.0,0.6807653575025178,-0.0029576469987498927
PL1516,Darren Randolph,West Ham United,True,FREE,SHORT,provider_target_geometry,30,46,0.6521739130434783,0.1,1.0,0.6289456301638351,-0.0023038938123664515
PL1516,Darren Randolph,West Ham United,True,FREE,VERY_LONG,provider_target_geometry,30,46,0.6521739130434783,0.5666666666666667,0.6470588235294118,0.5684597514956237,-0.004576974774616709
PL1516,David Ospina Ramírez,Arsenal,False,FREE,LONG,provider_target_geometry,77,92,0.8369565217391305,0.36363636363636365,0.75,0.5541304270523016,-0.007329146992128796
PL1516,David Ospina Ramírez,Arsenal,False,FREE,MEDIUM,provider_target_geometry,77,92,0.8369565217391305,0.22077922077922077,1.0,0.7807575674143102,-0.0035872686181112087
PL1516,David Ospina Ramírez,Arsenal,False,FREE,SHORT,provider_target_geometry,77,92,0.8369565217391305,0.2987012987012987,1.0,0.7243389866615486,-0.004698418160247767
PL1516,David Ospina Ramírez,Arsenal,False,FREE,VERY_LONG,provider_target_geometry,77,92,0.8369565217391305,0.11688311688311688,0.7777777777777778,0.5067851123106917,-0.007043756398848457
PL1516,David Ospina Ramírez,Arsenal,False,PRESSURED,LONG,provider_target_geometry,4,5,0.8,0.75,0.0,0.38442570139987114,-0.01406495805604896
PL1516,David Ospina Ramírez,Arsenal,False,PRESSURED,MEDIUM,provider_target_geometry,4,5,0.8,0.25,1.0,0.0,-0.01743534860747737
PL1516,David Ospina Ramírez,Arsenal,True,FREE,LONG,provider_target_geometry,25,29,0.8620689655172413,0.8,0.85,0.5639592223133252,-0.004923494560642522
PL1516,David Ospina Ramírez,Arsenal,True,FREE,MEDIUM,provider_target_geometry,25,29,0.8620689655172413,0.04,1.0,0.5269461077844312,-0.006869469345661653
PL1516,David Ospina Ramírez,Arsenal,True,FREE,SHORT,provider_target_geometry,25,29,0.8620689655172413,0.08,1.0,0.6290322580645161,-0.0018510733037906775
PL1516,David Ospina Ramírez,Arsenal,True,FREE,VERY_LONG,provider_target_geometry,25,29,0.8620689655172413,0.08,1.0,0.5494503018833921,-0.006235581337670033
PL1516,David de Gea Quintana,Manchester United,False,FREE,LONG,provider_target_geometry,531,602,0.8820598006644518,0.3709981167608286,0.6040609137055838,0.6302354317828482,-0.005963984572437204
PL1516,David de Gea Quintana,Manchester United,False,FREE,MEDIUM,provider_target_geometry,531,602,0.8820598006644518,0.1638418079096045,0.9540229885057471,0.766097034116307,-0.003392440749419696
PL1516,David de Gea Quintana,Manchester United,False,FREE,SHORT,provider_target_geometry,531,602,0.8820598006644518,0.3747645951035782,1.0,0.7402968726629359,-0.0038902228407035858
PL1516,David de Gea Quintana,Manchester United,False,FREE,VERY_LONG,provider_target_geometry,531,602,0.8820598006644518,0.0903954802259887,0.5625,0.5634301217158842,-0.006568916289547692
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,LONG,provider_target_geometry,51,63,0.8095238095238095,0.5098039215686274,0.46153846153846156,0.47145619565018093,-0.008669530673367136
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,MEDIUM,provider_target_geometry,51,63,0.8095238095238095,0.17647058823529413,0.7777777777777778,0.47625811935887913,-0.006672072619494039
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,SHORT,provider_target_geometry,51,63,0.8095238095238095,0.21568627450980393,0.9090909090909091,0.5011189581570737,-0.0069999450826809285
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,VERY_LONG,provider_target_geometry,51,63,0.8095238095238095,0.09803921568627451,0.6,0.41772362431900956,-0.011772876428206059
PL1516,David de Gea Quintana,Manchester United,True,FREE,LONG,provider_target_geometry,243,286,0.8496503496503497,0.551440329218107,0.7014925373134329,0.5807885871682614,-0.004682958130316354
PL1516,David de Gea Quintana,Manchester United,True,FREE,MEDIUM,provider_target_geometry,243,286,0.8496503496503497,0.1111111111111111,0.9629629629629629,0.5883873426382855,-0.004437342330142267
PL1516,David de Gea Quintana,Manchester United,True,FREE,SHORT,provider_target_geometry,243,286,0.8496503496503497,0.1728395061728395,1.0,0.5910997583379903,-0.004571443381351965
PL1516,David de Gea Quintana,Manchester United,True,FREE,VERY_LONG,provider_target_geometry,243,286,0.8496503496503497,0.1646090534979424,0.7,0.5881369931514673,-0.004541333889931068
PL1516,Declan Rudd,Norwich City,False,FREE,LONG,provider_target_geometry,162,218,0.7431192660550459,0.4567901234567901,0.4864864864864865,0.6444275849934024,-0.005594454856423509
PL1516,Declan Rudd,Norwich City,False,FREE,MEDIUM,provider_target_geometry,162,218,0.7431192660550459,0.14814814814814814,0.875,0.8360494902100184,-0.002558089763344996
PL1516,Declan Rudd,Norwich City,False,FREE,SHORT,provider_target_geometry,162,218,0.7431192660550459,0.2654320987654321,1.0,0.8440430387460449,-0.0024260691330726535
PL1516,Declan Rudd,Norwich City,False,FREE,VERY_LONG,provider_target_geometry,162,218,0.7431192660550459,0.12962962962962962,0.5714285714285714,0.644053722982219,-0.005100602614519789
PL1516,Declan Rudd,Norwich City,False,PRESSURED,LONG,provider_target_geometry,12,15,0.8,0.75,0.6666666666666666,0.49222114550502005,-0.005383158389527575
PL1516,Declan Rudd,Norwich City,False,PRESSURED,MEDIUM,provider_target_geometry,12,15,0.8,0.08333333333333333,1.0,0.5269461077844312,-0.009032694549922886
PL1516,Declan Rudd,Norwich City,False,PRESSURED,SHORT,provider_target_geometry,12,15,0.8,0.16666666666666666,1.0,0.4957962862154479,-0.013720748825709677
PL1516,Declan Rudd,Norwich City,True,FREE,LONG,provider_target_geometry,76,95,0.8,0.40789473684210525,0.6774193548387096,0.6148444730698159,-0.003338432139666639
PL1516,Declan Rudd,Norwich City,True,FREE,MEDIUM,provider_target_geometry,76,95,0.8,0.07894736842105263,0.8333333333333334,0.6379529910860661,-0.002506471042606069
PL1516,Declan Rudd,Norwich City,True,FREE,SHORT,provider_target_geometry,76,95,0.8,0.05263157894736842,1.0,0.6402483020638838,-0.0038177278792398176
PL1516,Declan Rudd,Norwich City,True,FREE,VERY_LONG,provider_target_geometry,76,95,0.8,0.4605263157894737,0.42857142857142855,0.595935983489502,-0.0038358803079183625
PL1516,Fraser Forster,Southampton,False,FREE,LONG,provider_target_geometry,276,312,0.8846153846153846,0.47101449275362317,0.6230769230769231,0.6215300341851737,-0.006401688462124294
PL1516,Fraser Forster,Southampton,False,FREE,MEDIUM,provider_target_geometry,276,312,0.8846153846153846,0.10507246376811594,0.896551724137931,0.7052942032130155,-0.0052793626045228035
PL1516,Fraser Forster,Southampton,False,FREE,SHORT,provider_target_geometry,276,312,0.8846153846153846,0.1956521739130435,0.9629629629629629,0.7453130672306949,-0.0039054991231196328
PL1516,Fraser Forster,Southampton,False,FREE,VERY_LONG,provider_target_geometry,276,312,0.8846153846153846,0.22826086956521738,0.49206349206349204,0.5876907768995255,-0.0065905543878195276
PL1516,Fraser Forster,Southampton,False,PRESSURED,LONG,provider_target_geometry,18,28,0.6428571428571429,0.6111111111111112,0.5454545454545454,0.5123366388317,-0.010252585980524916
PL1516,Fraser Forster,Southampton,False,PRESSURED,MEDIUM,provider_target_geometry,18,28,0.6428571428571429,0.16666666666666666,0.6666666666666666,0.5273758145045274,-0.005588446720070632
PL1516,Fraser Forster,Southampton,False,PRESSURED,SHORT,provider_target_geometry,18,28,0.6428571428571429,0.1111111111111111,1.0,0.5203387808660385,-0.006610427187688096
PL1516,Fraser Forster,Southampton,False,PRESSURED,VERY_LONG,provider_target_geometry,18,28,0.6428571428571429,0.1111111111111111,0.5,0.5237369890835237,-0.007447380681014153
PL1516,Fraser Forster,Southampton,True,FREE,LONG,provider_target_geometry,117,143,0.8181818181818182,0.39316239316239315,0.7391304347826086,0.5894118059368587,-0.004244755265902908
PL1516,Fraser Forster,Southampton,True,FREE,MEDIUM,provider_target_geometry,117,143,0.8181818181818182,0.042735042735042736,1.0,0.5868284185894777,-0.004369671474462482
PL1516,Fraser Forster,Southampton,True,FREE,SHORT,provider_target_geometry,117,143,0.8181818181818182,0.10256410256410256,1.0,0.6044749549983452,-0.003440741404125322
PL1516,Fraser Forster,Southampton,True,FREE,VERY_LONG,provider_target_geometry,117,143,0.8181818181818182,0.46153846153846156,0.7222222222222222,0.5640243928109367,-0.0047549458171435455
PL1516,Giedrius Arlauskis,Watford,False,FREE,LONG,provider_target_geometry,3,5,0.6,0.3333333333333333,1.0,0.5861456483126111,-0.005516304539589753
PL1516,Giedrius Arlauskis,Watford,False,FREE,SHORT,provider_target_geometry,3,5,0.6,0.3333333333333333,1.0,0.9634146341463414,0.0031668504848073385
