cohort,keeper,team,goal_kick,pressure_state,realized_bin,n,retention,xR,value
PL1516,Fraser Forster,Southampton,True,FREE,MEDIUM,5,1.0,0.5868284185894777,-0.004369671474462482
PL1516,Fraser Forster,Southampton,True,FREE,SHORT,13,0.9230769230769231,0.6009106919126049,-0.003623190949379831
PL1516,Fraser Forster,Southampton,True,FREE,VERY_LONG,69,0.5797101449275363,0.5633088901212776,-0.0047653685934479365
PL1516,Giedrius Arlauskis,Watford,False,FREE,LONG,1,1.0,0.5861456483126111,-0.005516304539589753
PL1516,Giedrius Arlauskis,Watford,False,FREE,SHORT,1,1.0,0.9634146341463414,0.0031668504848073385
PL1516,Giedrius Arlauskis,Watford,False,FREE,VERY_LONG,3,0.3333333333333333,0.532482741272507,-0.009739422606950422
PL1516,Giedrius Arlauskis,Watford,False,PRESSURED,VERY_LONG,1,1.0,0.39285714285714285,-0.012895011406747797
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,FREE,LONG,193,0.6010362694300518,0.6258062283620106,-0.0056291798518334135
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,FREE,MEDIUM,43,0.6976744186046512,0.7889134496984276,-0.003022830499953852
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,FREE,SHORT,75,0.9733333333333334,0.8291392584835222,-0.0028402188320512216
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,FREE,VERY_LONG,115,0.4956521739130435,0.5828840993616612,-0.0063336926817611616
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,PRESSURED,LONG,20,0.5,0.5000940710641419,-0.006529159482443536
PL1516,Glyn Oliver Myhill,West Bromwich Albion,False,PRESSURED,MEDIUM,4,0.25,0.46838148478233665,-0.010235643946976932
PL1516,Glyn Oliver Myhill,West Bromwich Albion,True,FREE,LONG,80,0.5375,0.588814837902908,-0.0040054282973385705
PL1516,Glyn Oliver Myhill,West Bromwich Albion,True,FREE,MEDIUM,2,1.0,0.596852970795569,-0.004329675505808858
PL1516,Glyn Oliver Myhill,West Bromwich Albion,True,FREE,SHORT,10,1.0,0.595534126845898,-0.0037847354586731815
PL1516,Glyn Oliver Myhill,West Bromwich Albion,True,FREE,VERY_LONG,112,0.4107142857142857,0.5945854055129658,-0.003984111047044185
PL1516,Heurelho da Silva Gomes,Watford,False,FREE,LONG,306,0.5490196078431373,0.663858362481555,-0.005164518838040581
PL1516,Heurelho da Silva Gomes,Watford,False,FREE,MEDIUM,97,0.865979381443299,0.8532119125662683,-0.0019914104701615684
PL1516,Heurelho da Silva Gomes,Watford,False,FREE,SHORT,153,1.0,0.8048517667714958,-0.003094592286266869
PL1516,Heurelho da Silva Gomes,Watford,False,FREE,VERY_LONG,161,0.5031055900621118,0.6135991221074123,-0.005666111447198409
PL1516,Heurelho da Silva Gomes,Watford,False,PRESSURED,LONG,22,0.5,0.504903609491321,-0.007872836974552235
PL1516,Heurelho da Silva Gomes,Watford,False,PRESSURED,MEDIUM,5,0.6,0.4720654016453083,-0.009264096227437905
PL1516,Heurelho da Silva Gomes,Watford,False,PRESSURED,SHORT,2,0.5,0.5269461077844312,-0.011775719580769856
PL1516,Heurelho da Silva Gomes,Watford,False,PRESSURED,VERY_LONG,2,0.0,0.5094223046030275,-0.007291952123358475
PL1516,Heurelho da Silva Gomes,Watford,True,FREE,LONG,149,0.6375838926174496,0.5889729037763912,-0.004681730787705899
PL1516,Heurelho da Silva Gomes,Watford,True,FREE,MEDIUM,8,1.0,0.6129910753437632,-0.004024566924814058
PL1516,Heurelho da Silva Gomes,Watford,True,FREE,SHORT,13,1.0,0.621268311738485,-0.0037497889725446247
PL1516,Heurelho da Silva Gomes,Watford,True,FREE,VERY_LONG,200,0.515,0.5975139035807286,-0.004177558456264773
PL1516,Hugo Lloris,Tottenham Hotspur,False,FREE,LONG,240,0.5375,0.6521355728082904,-0.005679913368157933
PL1516,Hugo Lloris,Tottenham Hotspur,False,FREE,MEDIUM,185,0.8756756756756757,0.7415054837014999,-0.00442897522541945
PL1516,Hugo Lloris,Tottenham Hotspur,False,FREE,SHORT,349,0.9856733524355301,0.7617464329112722,-0.004039664143648636
PL1516,Hugo Lloris,Tottenham Hotspur,False,FREE,VERY_LONG,106,0.42452830188679247,0.5944880020445207,-0.0062948632058721955
PL1516,Hugo Lloris,Tottenham Hotspur,False,PRESSURED,LONG,34,0.47058823529411764,0.5072296228250845,-0.0073944051479643705
PL1516,Hugo Lloris,Tottenham Hotspur,False,PRESSURED,MEDIUM,21,0.6666666666666666,0.5082885478763276,-0.007644540499722022
PL1516,Hugo Lloris,Tottenham Hotspur,False,PRESSURED,SHORT,27,0.9259259259259259,0.5010574047429889,-0.0072620623680605505
PL1516,Hugo Lloris,Tottenham Hotspur,False,PRESSURED,VERY_LONG,2,0.5,0.5237369890835237,-0.0036105024249983163
PL1516,Hugo Lloris,Tottenham Hotspur,True,FREE,LONG,82,0.4268292682926829,0.600188814423207,-0.004483214113878072
PL1516,Hugo Lloris,Tottenham Hotspur,True,FREE,MEDIUM,38,0.8157894736842105,0.595615950884274,-0.004329431669149099
PL1516,Hugo Lloris,Tottenham Hotspur,True,FREE,SHORT,68,1.0,0.607463848439967,-0.004191763974859771
PL1516,Hugo Lloris,Tottenham Hotspur,True,FREE,VERY_LONG,56,0.35714285714285715,0.6007949776400758,-0.004212847183137078
PL1516,Jack Butland,Stoke City,False,FREE,LONG,258,0.44573643410852715,0.6364775774646128,-0.005788375746624928
PL1516,Jack Butland,Stoke City,False,FREE,MEDIUM,73,0.7808219178082192,0.7300597627794232,-0.0038686998772448945
PL1516,Jack Butland,Stoke City,False,FREE,SHORT,206,0.9951456310679612,0.8116282247200555,-0.00275658371202845
PL1516,Jack Butland,Stoke City,False,FREE,VERY_LONG,146,0.4246575342465753,0.5864921960043155,-0.006180772698324489
PL1516,Jack Butland,Stoke City,False,PRESSURED,LONG,23,0.4782608695652174,0.49688048161107856,-0.008786629990688915
PL1516,Jack Butland,Stoke City,False,PRESSURED,MEDIUM,5,0.2,0.5018333945509348,-0.0060839868985412045
